! Converted from _tb.dat to _hr.dat using FreeTBX Code
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1  
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1  
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1  
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1  
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1  
    1    1    1    1    1    2    1    1  
  -5  -2   0   2   5   -0.20878469E-02    0.18067781E-02
  -5  -2   0   2   6   -0.59134641E-03   -0.86541456E-03
  -5  -2   0   3   1   -0.27586441E-03   -0.49402978E-03
  -5  -2   0   3   2   -0.86948570E-02    0.68495865E-02
  -5  -2   0   3   3    0.89696314E-02   -0.12899352E-03
  -5  -2   0   3   4    0.40287813E-03    0.15348121E-04
  -5  -2   0   3   5   -0.13480173E-01    0.21718749E-02
  -5  -2   0   3   6   -0.14118487E-01   -0.80954453E-02
  -5  -2   0   4   1    0.10704908E-01    0.59184798E-02
  -5  -2   0   4   2    0.32607772E-04   -0.17073678E-04
  -5  -2   0   4   3   -0.22618508E-03   -0.12747536E-03
  -5  -2   0   4   4   -0.40396536E-02   -0.27000081E-04
  -5  -2   0   4   5    0.47386195E-04   -0.14591756E-04
  -5  -2   0   4   6    0.71353016E-05    0.50010494E-04
  -5  -2   0   5   1   -0.44882861E-04    0.12459530E-04
  -5  -2   0   5   2    0.16625238E-02   -0.66159876E-03
  -5  -2   0   5   3   -0.23314831E-01   -0.70426142E-02
  -5  -2   0   5   4    0.67939191E-04    0.41828696E-04
  -5  -2   0   5   5    0.12893072E-02    0.32508504E-03
  -5  -2   0   5   6    0.15184700E-02    0.10054317E-03
  -5  -2   0   6   1    0.51311913E-04    0.48080624E-04
  -5  -2   0   6   2    0.81596139E-03    0.15118712E-02
  -5  -2   0   6   3    0.16171919E-01    0.28590126E-02
  -5  -2   0   6   4    0.13174281E-04   -0.37282123E-04
  -5  -2   0   6   5   -0.99976814E-03   -0.17191667E-05
  -5  -2   0   6   6    0.11709670E-02   -0.38883438E-03
  -5  -1   0   1   1   -0.21739213E-02   -0.19794194E-04
  -5  -1   0   1   2    0.37623408E-04    0.12027703E-03
  -5  -1   0   1   3    0.23682660E-03    0.84577667E-04
  -5  -1   0   1   4    0.34262505E-02   -0.18923787E-02
  -5  -1   0   1   5   -0.26366198E-05    0.18326844E-04
  -5  -1   0   1   6    0.45338267E-04   -0.68035686E-04
  -5  -1   0   2   1    0.27645017E-04   -0.11198822E-03
  -5  -1   0   2   2   -0.11387916E-02    0.93818727E-03
  -5  -1   0   2   3   -0.16840421E-01   -0.77806570E-03
  -5  -1   0   2   4   -0.41229040E-04   -0.21752572E-05
  -5  -1   0   2   5    0.10432439E-02    0.28761913E-03
  -5  -1   0   2   6    0.46435783E-03    0.47878337E-03
  -5  -1   0   3   1    0.10646011E-03   -0.17014466E-03
  -5  -1   0   3   2   -0.19915604E-01    0.58692000E-03
  -5  -1   0   3   3   -0.11277576E-01    0.51451875E-04
  -5  -1   0   3   4    0.36663639E-03   -0.10038784E-03
  -5  -1   0   3   5    0.25696011E-01   -0.31357091E-02
  -5  -1   0   3   6    0.26313301E-01    0.53488611E-02
  -5  -1   0   4   1    0.87410389E-02    0.35084757E-02
  -5  -1   0   4   2   -0.17335474E-04   -0.61493322E-04
  -5  -1   0   4   3   -0.59372192E-04    0.27452477E-03
  -5  -1   0   4   4   -0.10662968E-01    0.20170641E-04
  -5  -1   0   4   5    0.13001145E-04   -0.96871875E-05
  -5  -1   0   4   6    0.52305594E-04   -0.54130446E-04
  -5  -1   0   5   1   -0.14634007E-05    0.19983077E-05
  -5  -1   0   5   2    0.88800412E-03    0.24161447E-03
  -5  -1   0   5   3    0.46559004E-01   -0.18460757E-02
  -5  -1   0   5   4   -0.13097443E-04   -0.37839975E-04
  -5  -1   0   5   5   -0.15142917E-02    0.85161618E-03
  -5  -1   0   5   6    0.26335983E-03    0.43986156E-03
  -5  -1   0   6   1   -0.35163622E-04   -0.65017144E-04
  -5  -1   0   6   2   -0.42249859E-03    0.40542948E-03
  -5  -1   0   6   3    0.13411235E-01    0.35268439E-02
  -5  -1   0   6   4    0.34093963E-05    0.39390399E-04
  -5  -1   0   6   5   -0.55964859E-03    0.42667924E-03
  -5  -1   0   6   6   -0.20849051E-02   -0.18416318E-02
  -4  -5   0   1   1   -0.21767595E-02    0.18944860E-04
  -4  -5   0   1   2   -0.40187787E-04    0.22955420E-04
  -4  -5   0   1   3   -0.15759431E-03    0.64570616E-04
  -4  -5   0   1   4    0.10704471E-01   -0.59195663E-02
  -4  -5   0   1   5   -0.63201388E-04   -0.13622715E-04
  -4  -5   0   1   6   -0.35861466E-04    0.43248871E-04
  -4  -5   0   2   1   -0.37895076E-04   -0.34533292E-04
  -4  -5   0   2   2   -0.23540724E-02    0.18913253E-02
  -4  -5   0   2   3   -0.22794229E-01    0.20499047E-02
  -4  -5   0   2   4   -0.61457389E-04   -0.13855318E-04
  -4  -5   0   2   5   -0.16197439E-03   -0.70843126E-04
  -4  -5   0   2   6    0.28513247E-03   -0.23055501E-04
  -4  -5   0   3   1   -0.21539629E-03   -0.22762840E-03
  -4  -5   0   3   2   -0.70038657E-02    0.42527761E-02
  -4  -5   0   3   3   -0.10885510E-01    0.25631569E-04
  -4  -5   0   3   4    0.66733102E-04    0.15977378E-03
  -4  -5   0   3   5    0.45515132E-01    0.11474233E-02
  -4  -5   0   3   6    0.24187656E-01    0.31462660E-02
  -4  -5   0   4   1    0.97644759E-02    0.25613823E-02
  -4  -5   0   4   2   -0.20707763E-04    0.12966967E-04
  -4  -5   0   4   3    0.18174758E-03   -0.47181880E-03
  -4  -5   0   4   4   -0.10658385E-01   -0.19155136E-04
  -4  -5   0   4   5    0.52681651E-04    0.25031158E-05
  -4  -5   0   4   6   -0.20904376E-04    0.66273327E-04
  -4  -5   0   5   1   -0.44158863E-04   -0.40005864E-05
  -4  -5   0   5   2    0.10534376E-02   -0.79522358E-04
  -4  -5   0   5   3    0.24486222E-01    0.27724461E-02
  -4  -5   0   5   4    0.77231785E-04    0.27022054E-04
  -4  -5   0   5   5   -0.13072738E-02   -0.10352733E-02
  -4  -5   0   5   6   -0.64184705E-03    0.27343053E-03
  -4  -5   0   6   1   -0.31039072E-04   -0.84070001E-04
  -4  -5   0   6   2   -0.92814213E-03   -0.67020396E-04
  -4  -5   0   6   3    0.21506529E-01   -0.19059525E-02
  -4  -5   0   6   4   -0.27671231E-04   -0.60066889E-04
  -4  -5   0   6   5   -0.59838180E-03    0.43704397E-03
  -4  -5   0   6   6   -0.14704534E-02   -0.88147333E-03
  -4  -4   0   1   1    0.47354661E-02    0.52420829E-05
  -4  -4   0   1   2    0.78926158E-04   -0.28480507E-04
  -4  -4   0   1   3   -0.17922628E-03    0.36159931E-03
  -4  -4   0   1   4    0.87382243E-02   -0.35000122E-02
  -4  -4   0   1   5   -0.19146932E-04    0.32455409E-04
  -4  -4   0   1   6    0.19728896E-04   -0.86835192E-04
  -4  -4   0   2   1    0.50068133E-04    0.62239798E-04
  -4  -4   0   2   2    0.18836591E-03    0.15536838E-03
  -4  -4   0   2   3   -0.16146844E-01   -0.62218456E-02
  -4  -4   0   2   4    0.73484375E-04    0.11164094E-03
  -4  -4   0   2   5    0.16887389E-02   -0.31657190E-03
  -4  -4   0   2   6    0.27514026E-02    0.16063111E-02
  -4  -4   0   3   1    0.73794820E-03    0.11759351E-02
  -4  -4   0   3   2    0.35766904E-01   -0.92204073E-02
  -4  -4   0   3   3   -0.57684826E-02   -0.55442138E-04
  -4  -4   0   3   4    0.74088696E-03    0.78766753E-03
  -4  -4   0   3   5   -0.17296991E-01   -0.28099421E-02
  -4  -4   0   3   6    0.18667168E-01    0.89533028E-02
  -4  -4   0   4   1    0.87382242E-02    0.35059999E-02
  -4  -4   0   4   2   -0.67215178E-04    0.79529745E-04
  -4  -4   0   4   3   -0.61204888E-03    0.87950534E-03
  -4  -4   0   4   4   -0.69941688E-02   -0.43357023E-05
  -4  -4   0   4   5    0.39386480E-04   -0.41259725E-04
  -4  -4   0   4   6    0.44241920E-04   -0.69187526E-04
  -4  -4   0   5   1   -0.98648307E-04   -0.39344249E-04
  -4  -4   0   5   2   -0.26224442E-02    0.12877157E-02
  -4  -4   0   5   3   -0.16196937E-01   -0.51097923E-02
  -4  -4   0   5   4    0.11565429E-04   -0.40453775E-04
  -4  -4   0   5   5    0.13439033E-02    0.92822402E-03
  -4  -4   0   5   6   -0.17671636E-03   -0.53279574E-04
  -4  -4   0   6   1    0.41395930E-04    0.59213953E-04
  -4  -4   0   6   2   -0.19690278E-02    0.26633264E-03
  -4  -4   0   6   3   -0.37672087E-01    0.10813274E-01
  -4  -4   0   6   4    0.20885603E-04    0.55138527E-04
  -4  -4   0   6   5    0.21523656E-02   -0.16073965E-03
  -4  -4   0   6   6    0.15005428E-02   -0.10290566E-02
  -4  -3   0   1   1    0.10911854E-01   -0.48673071E-04
  -4  -3   0   1   2   -0.41335785E-04   -0.18926806E-03
  -4  -3   0   1   3   -0.33018465E-04   -0.11617891E-03
  -4  -3   0   1   4   -0.87431940E-02    0.30118156E-02
  -4  -3   0   1   5   -0.36399313E-04    0.14291749E-03
  -4  -3   0   1   6   -0.44805243E-04    0.13335431E-03
  -4  -3   0   2   1   -0.92489798E-04   -0.94591942E-04
  -4  -3   0   2   2    0.21679248E-02    0.77405668E-03
  -4  -3   0   2   3    0.39942681E-01    0.90421201E-02
  -4  -3   0   2   4    0.61811293E-04   -0.36794116E-04
  -4  -3   0   2   5   -0.98500068E-03   -0.38890818E-03
  -4  -3   0   2   6   -0.25157618E-02   -0.17211810E-02
  -4  -3   0   3   1   -0.38021967E-03   -0.12617972E-02
  -4  -3   0   3   2    0.24843562E-01   -0.20735679E-02
  -4  -3   0   3   3    0.12860269E-01   -0.67176781E-03
  -4  -3   0   3   4   -0.15554156E-02   -0.20014458E-02
  -4  -3   0   3   5   -0.25085139E-01   -0.93815910E-02
  -4  -3   0   3   6   -0.53987650E-01   -0.19390048E-02
  -4  -3   0   4   1   -0.50659175E-02   -0.29099271E-02
  -4  -3   0   4   2    0.66280231E-04   -0.36351441E-04
  -4  -3   0   4   3    0.69417947E-04   -0.25518405E-03
  -4  -3   0   4   4    0.46515709E-02    0.44861938E-04
  -4  -3   0   4   5   -0.19875086E-04    0.44562944E-04
  -4  -3   0   4   6    0.20209388E-07    0.20455407E-04
  -4  -3   0   5   1    0.10727997E-03    0.68106067E-04
  -4  -3   0   5   2   -0.20195023E-03    0.22676975E-05
  -4  -3   0   5   3   -0.16561825E-01    0.49748307E-02
  -4  -3   0   5   4    0.47093696E-05    0.24253589E-04
  -4  -3   0   5   5    0.98703100E-03   -0.69551541E-03
  -4  -3   0   5   6    0.19279571E-02   -0.93476728E-03
  -4  -3   0   6   1    0.94685836E-04   -0.12245482E-04
  -4  -3   0   6   2    0.35745266E-02   -0.25401059E-03
  -4  -3   0   6   3    0.76228405E-02   -0.81025454E-02
  -4  -3   0   6   4   -0.18441432E-04   -0.10216173E-04
  -4  -3   0   6   5    0.28445798E-03    0.22810811E-03
  -4  -3   0   6   6    0.36450989E-02    0.59703767E-03
  -4  -2   0   1   1    0.15948836E-01   -0.32118409E-03
  -4  -2   0   1   2   -0.90056715E-04    0.16710831E-05
  -4  -2   0   1   3    0.98768935E-04    0.34692280E-04
  -4  -2   0   1   4   -0.19321425E-01    0.11336258E-01
  -4  -2   0   1   5    0.15438345E-03   -0.13380106E-03
  -4  -2   0   1   6    0.11319085E-03    0.28142611E-04
  -4  -2   0   2   1   -0.38779848E-04    0.32690639E-04
  -4  -2   0   2   2   -0.31778543E-02   -0.12878382E-02
  -4  -2   0   2   3   -0.15025804E-01   -0.77734518E-02
  -4  -2   0   2   4    0.78505157E-04   -0.42094066E-04
  -4  -2   0   2   5    0.57474301E-02    0.15007189E-02
  -4  -2   0   2   6   -0.48585098E-03    0.59448482E-03
  -4  -2   0   3   1   -0.36242664E-03   -0.73820347E-04
  -4  -2   0   3   2   -0.54894300E-01   -0.26791003E-03
  -4  -2   0   3   3   -0.12727638E-01   -0.47973899E-03
  -4  -2   0   3   4    0.16402886E-04   -0.38974638E-04
  -4  -2   0   3   5    0.52802758E-01    0.14536886E-01
  -4  -2   0   3   6    0.56264580E-01    0.11487354E-01
  -4  -2   0   4   1   -0.50717497E-02   -0.29121230E-02
  -4  -2   0   4   2    0.39763423E-04    0.64827172E-04
  -4  -2   0   4   3    0.14666069E-03    0.14569601E-04
  -4  -2   0   4   4    0.12827449E-01    0.32104268E-03
  -4  -2   0   4   5   -0.27882852E-04   -0.37326727E-04
  -4  -2   0   4   6    0.92612265E-04   -0.92192700E-04
  -4  -2   0   5   1   -0.33917230E-04    0.35613443E-04
  -4  -2   0   5   2    0.97808934E-03    0.13264534E-03
  -4  -2   0   5   3    0.36675536E-01   -0.10675297E-01
  -4  -2   0   5   4   -0.21749185E-03   -0.16384228E-03
  -4  -2   0   5   5   -0.39875094E-02    0.30885009E-02
  -4  -2   0   5   6   -0.13325737E-02   -0.11384010E-03
  -4  -2   0   6   1   -0.78035651E-05    0.19133829E-04
  -4  -2   0   6   2   -0.89633132E-03    0.98193489E-03
  -4  -2   0   6   3    0.21867980E-01    0.33721167E-02
  -4  -2   0   6   4   -0.94841596E-04    0.15017040E-05
  -4  -2   0   6   5   -0.59342328E-02    0.34730600E-03
  -4  -2   0   6   6   -0.30841305E-02   -0.13207823E-02
  -4  -1   0   1   1    0.10908794E-01   -0.44369828E-04
  -4  -1   0   1   2   -0.11551501E-03    0.76481108E-04
  -4  -1   0   1   3    0.56128266E-04   -0.31760184E-03
  -4  -1   0   1   4   -0.19326837E-01    0.11347659E-01
  -4  -1   0   1   5    0.35072051E-04   -0.10711590E-03
  -4  -1   0   1   6   -0.69688349E-04   -0.32448298E-04
  -4  -1   0   2   1    0.10625574E-03    0.42975327E-04
  -4  -1   0   2   2    0.31094911E-02    0.65254205E-03
  -4  -1   0   2   3   -0.13529090E-01    0.61510394E-02
  -4  -1   0   2   4   -0.56989780E-04    0.35259001E-04
  -4  -1   0   2   5   -0.99453434E-03   -0.71871486E-03
  -4  -1   0   2   6    0.28842378E-02    0.11121842E-02
  -4  -1   0   3   1    0.32770724E-03    0.83607269E-03
  -4  -1   0   3   2    0.53927389E-01   -0.95374126E-02
  -4  -1   0   3   3    0.13016972E-01   -0.76537076E-03
  -4  -1   0   3   4   -0.18846725E-02   -0.85976986E-03
  -4  -1   0   3   5   -0.35219325E-01   -0.75830803E-02
  -4  -1   0   3   6   -0.31006869E-01   -0.42413460E-02
  -4  -1   0   4   1    0.87380281E-02    0.35024442E-02
  -4  -1   0   4   2    0.25264342E-04   -0.17353996E-05
  -4  -1   0   4   3    0.32710176E-03   -0.28256993E-03
  -4  -1   0   4   4    0.46555319E-02    0.48449411E-04
  -4  -1   0   4   5   -0.12252681E-04    0.47524503E-04
  -4  -1   0   4   6   -0.13724492E-03    0.20067754E-04
  -4  -1   0   5   1   -0.27493548E-04   -0.15590935E-04
  -4  -1   0   5   2   -0.19265081E-02    0.14137461E-02
  -4  -1   0   5   3   -0.64453963E-02    0.65099761E-02
  -4  -1   0   5   4   -0.16507564E-04    0.39292473E-04
  -4  -1   0   5   5    0.13052412E-02   -0.71620494E-03
  -4  -1   0   5   6   -0.33538269E-03   -0.34637930E-03
  -4  -1   0   6   1    0.15360372E-04   -0.64814183E-04
  -4  -1   0   6   2   -0.27924103E-02   -0.52890414E-03
  -4  -1   0   6   3   -0.38655196E-01   -0.78453526E-03
  -4  -1   0   6   4    0.27655240E-04   -0.37209676E-05
  -4  -1   0   6   5    0.99592316E-03    0.23030586E-03
  -4  -1   0   6   6    0.22277184E-02    0.82495407E-03
  -4   0   0   1   1    0.47328885E-02   -0.98510838E-06
  -4   0   0   1   2   -0.15046207E-03   -0.96925313E-04
  -4   0   0   1   3   -0.14663394E-03    0.12436190E-04
  -4   0   0   1   4   -0.87412921E-02    0.30186765E-02
  -4   0   0   1   5   -0.31364496E-04    0.15360409E-03
  -4   0   0   1   6   -0.24452902E-04    0.18655536E-03
  -4   0   0   2   1    0.18627546E-04    0.54879978E-04
  -4   0   0   2   2    0.12744615E-02   -0.97188030E-03
  -4   0   0   2   3    0.37531062E-01   -0.38384539E-02
  -4   0   0   2   4   -0.81941323E-04   -0.35472181E-04
  -4   0   0   2   5   -0.16943736E-02    0.19386198E-03
  -4   0   0   2   6   -0.18445161E-02   -0.70610542E-03
  -4   0   0   3   1   -0.22824620E-03   -0.18709385E-03
  -4   0   0   3   2   -0.23340834E-01   -0.45883132E-02
  -4   0   0   3   3   -0.55009200E-02    0.19484763E-05
  -4   0   0   3   4    0.11828903E-02    0.69538975E-03
  -4   0   0   3   5   -0.42940142E-02   -0.40653557E-02
  -4   0   0   3   6   -0.34204565E-01    0.24546185E-02
  -4   0   0   4   1    0.97644469E-02    0.25583056E-02
  -4   0   0   4   2   -0.28691071E-04    0.25914897E-04
  -4   0   0   4   3   -0.97373245E-03    0.41935053E-03
  -4   0   0   4   4   -0.69897918E-02   -0.82424874E-06
  -4   0   0   4   5    0.10614502E-03   -0.63697279E-04
  -4   0   0   4   6    0.11764781E-03   -0.18574676E-05
  -4   0   0   5   1   -0.74033591E-04   -0.27215279E-04
  -4   0   0   5   2   -0.51729219E-03    0.12067686E-03
  -4   0   0   5   3   -0.27193665E-01   -0.63400622E-02
  -4   0   0   5   4    0.49894779E-04   -0.11601893E-04
  -4   0   0   5   5    0.15463845E-02    0.10205150E-02
  -4   0   0   5   6    0.31462331E-02   -0.45105037E-03
  -4   0   0   6   1    0.61785960E-05    0.68577144E-04
  -4   0   0   6   2    0.26506859E-02    0.68124076E-03
  -4   0   0   6   3    0.10447275E-01    0.19641570E-02
  -4   0   0   6   4   -0.12908013E-03   -0.58027136E-04
  -4   0   0   6   5   -0.19645905E-02    0.59051883E-03
  -4   0   0   6   6   -0.57396007E-04   -0.48773856E-04
  -4   1   0   1   1   -0.21739213E-02    0.19794194E-04
  -4   1   0   1   2    0.27645017E-04    0.11198822E-03
  -4   1   0   1   3    0.10646011E-03    0.17014466E-03
  -4   1   0   1   4    0.87410389E-02   -0.35084757E-02
  -4   1   0   1   5   -0.14634007E-05   -0.19983077E-05
  -4   1   0   1   6   -0.35163622E-04    0.65017144E-04
  -4   1   0   2   1    0.37623408E-04   -0.12027703E-03
  -4   1   0   2   2   -0.11387916E-02   -0.93818727E-03
  -4   1   0   2   3   -0.19915604E-01   -0.58692000E-03
  -4   1   0   2   4   -0.17335474E-04    0.61493322E-04
  -4   1   0   2   5    0.88800412E-03   -0.24161447E-03
  -4   1   0   2   6   -0.42249859E-03   -0.40542948E-03
  -4   1   0   3   1    0.23682660E-03   -0.84577667E-04
  -4   1   0   3   2   -0.16840421E-01    0.77806570E-03
  -4   1   0   3   3   -0.11277576E-01   -0.51451875E-04
  -4   1   0   3   4   -0.59372192E-04   -0.27452477E-03
  -4   1   0   3   5    0.46559004E-01    0.18460757E-02
  -4   1   0   3   6    0.13411235E-01   -0.35268439E-02
  -4   1   0   4   1    0.34262505E-02    0.18923787E-02
  -4   1   0   4   2   -0.41229040E-04    0.21752572E-05
  -4   1   0   4   3    0.36663639E-03    0.10038784E-03
  -4   1   0   4   4   -0.10662968E-01   -0.20170641E-04
  -4   1   0   4   5   -0.13097443E-04    0.37839975E-04
  -4   1   0   4   6    0.34093963E-05   -0.39390399E-04
  -4   1   0   5   1   -0.26366198E-05   -0.18326844E-04
  -4   1   0   5   2    0.10432439E-02   -0.28761913E-03
  -4   1   0   5   3    0.25696011E-01    0.31357091E-02
  -4   1   0   5   4    0.13001145E-04    0.96871875E-05
  -4   1   0   5   5   -0.15142917E-02   -0.85161618E-03
  -4   1   0   5   6   -0.55964859E-03   -0.42667924E-03
  -4   1   0   6   1    0.45338267E-04    0.68035686E-04
  -4   1   0   6   2    0.46435783E-03   -0.47878337E-03
  -4   1   0   6   3    0.26313301E-01   -0.53488611E-02
  -4   1   0   6   4    0.52305594E-04    0.54130446E-04
  -4   1   0   6   5    0.26335983E-03   -0.43986156E-03
  -4   1   0   6   6   -0.20849051E-02    0.18416318E-02
  -3  -6   0   1   1   -0.10460377E-01    0.91265342E-04
  -3  -6   0   1   2    0.16082398E-04    0.66038353E-05
  -3  -6   0   1   3    0.43116625E-04    0.26552538E-03
  -3  -6   0   1   4    0.11516653E-01   -0.19751634E-02
  -3  -6   0   1   5   -0.78506765E-04   -0.39431866E-04
  -3  -6   0   1   6    0.53454266E-06    0.77987968E-04
  -3  -6   0   2   1    0.33176354E-04    0.78385212E-04
  -3  -6   0   2   2   -0.11952957E-03   -0.27819506E-03
  -3  -6   0   2   3   -0.55265429E-02    0.53481591E-02
  -3  -6   0   2   4   -0.14953869E-04    0.12141871E-04
  -3  -6   0   2   5    0.16252844E-02   -0.35530216E-03
  -3  -6   0   2   6   -0.16852009E-02    0.48387582E-04
  -3  -6   0   3   1    0.53912450E-04   -0.79452889E-04
  -3  -6   0   3   2   -0.73581918E-02   -0.74785208E-02
  -3  -6   0   3   3   -0.26399862E-01    0.93391796E-03
  -3  -6   0   3   4   -0.31010571E-03   -0.25042469E-03
  -3  -6   0   3   5    0.38400365E-01   -0.75591321E-02
  -3  -6   0   3   6    0.13353966E-01    0.75102080E-02
  -3  -6   0   4   1    0.38947054E-02   -0.20826354E-02
  -3  -6   0   4   2    0.20567746E-04    0.16166216E-05
  -3  -6   0   4   3    0.31194364E-04   -0.20840581E-03
  -3  -6   0   4   4   -0.36412364E-02   -0.91300752E-04
  -3  -6   0   4   5   -0.18998439E-04    0.26516858E-04
  -3  -6   0   4   6   -0.33882633E-04    0.44244226E-04
  -3  -6   0   5   1   -0.16451546E-04    0.85022711E-04
  -3  -6   0   5   2    0.20270212E-02    0.15199792E-04
  -3  -6   0   5   3    0.19934094E-01    0.36422916E-02
  -3  -6   0   5   4    0.53593974E-04    0.50437823E-04
  -3  -6   0   5   5    0.13358531E-03   -0.35807340E-03
  -3  -6   0   5   6   -0.16670575E-02   -0.14997359E-03
  -3  -6   0   6   1    0.85737409E-05   -0.87885848E-04
  -3  -6   0   6   2   -0.18597487E-02    0.31825612E-03
  -3  -6   0   6   3    0.77074029E-02   -0.47424509E-02
  -3  -6   0   6   4    0.20379471E-04    0.97193519E-05
  -3  -6   0   6   5   -0.16808805E-02    0.45687225E-03
  -3  -6   0   6   6    0.17502480E-03   -0.29761409E-03
  -3  -5   0   1   1   -0.30421584E-02   -0.22963464E-04
  -3  -5   0   1   2   -0.26610011E-04   -0.34009694E-04
  -3  -5   0   1   3   -0.26665218E-03    0.44196783E-03
  -3  -5   0   1   4    0.11514788E-01   -0.19722278E-02
  -3  -5   0   1   5   -0.78141411E-04    0.14406866E-04
  -3  -5   0   1   6    0.41815451E-04   -0.23377786E-04
  -3  -5   0   2   1    0.13245298E-04    0.12333219E-03
  -3  -5   0   2   2    0.12314099E-02    0.38783335E-03
  -3  -5   0   2   3   -0.12578387E-01   -0.33934039E-02
  -3  -5   0   2   4    0.25809196E-04    0.43180866E-05
  -3  -5   0   2   5    0.38150217E-03   -0.90503810E-03
  -3  -5   0   2   6    0.14223075E-02    0.58453307E-03
  -3  -5   0   3   1   -0.62962195E-04    0.47613640E-03
  -3  -5   0   3   2    0.46319631E-01    0.94183713E-03
  -3  -5   0   3   3    0.88981402E-02    0.12540419E-03
  -3  -5   0   3   4    0.21980026E-03    0.55218862E-03
  -3  -5   0   3   5   -0.15732021E-01    0.59792450E-02
  -3  -5   0   3   6    0.17741516E-01    0.37997356E-02
  -3  -5   0   4   1    0.34233272E-02    0.18882993E-02
  -3  -5   0   4   2    0.16575672E-04    0.28230329E-04
  -3  -5   0   4   3   -0.20253647E-03    0.55852560E-03
  -3  -5   0   4   4   -0.40418287E-02    0.26040221E-04
  -3  -5   0   4   5    0.74044878E-07   -0.10481565E-04
  -3  -5   0   4   6    0.60258462E-04   -0.66771117E-04
  -3  -5   0   5   1   -0.40056816E-04    0.16065098E-05
  -3  -5   0   5   2   -0.57342377E-03    0.15455910E-02
  -3  -5   0   5   3   -0.90024803E-02   -0.34670082E-02
  -3  -5   0   5   4   -0.20373285E-04   -0.73149033E-04
  -3  -5   0   5   5   -0.58990983E-03   -0.18234554E-03
  -3  -5   0   5   6   -0.17645774E-02   -0.85047173E-03
